Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Tagon8,https://www.crunchbase.com/organization/tagon8,"Cloud Computing, CRM, Digital Media, Enterprise Software, Software","São Paulo, Sao Paulo, Brazil",Tagon8 specializes in web development and digital marketing.,"103,806",Latin America,$1M to $10M,Active,2011-12-31,day,,,,,For Profit,http://www.tagon8.com/,https://www.twitter.com/tagon8_,https://www.facebook.com/tagon8/,https://www.linkedin.com/company/tagon8/,contato@tagon8inc.com,+55 11 99630-1542,,,"Tagon8 specializes in web development and digital marketing. Diogo Nechtan, Erich Progin, João Hannud, and Pedro McCardell founded it on December 31, 2011, with its headquarters in São Paulo in Brazil.",,,,,,,,,,,,,,"Information Technology, Internet Services, Media and Entertainment, Sales and Marketing, Software",4,"Diogo Nechtan, Erich Progin, João Hannud, Pedro McCardell",11-50,1,Seed,2012-10-23,1800000,BRL,887636,Angel,1800000,BRL,887636,Angel,1800000,BRL,887636,1800000,BRL,887636,"Erich Progin, Felipe Leite, João Hannud",,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,436",47,1,,18,,,,,,,,
goLiza,https://www.crunchbase.com/organization/goliza,"B2B, Business Information Systems, Digital Media, Information Services, Information Technology, SaaS","São Paulo, Sao Paulo, Brazil",GoLiza is a digital connection platform that will transform the management of registrations through the integration of business documents.,"103,816",Latin America,,Active,2018-01-01,year,,,,,For Profit,http://www.goliza.com.br,,,https://www.linkedin.com/company/liza,,,,,"GoLiza is a digital connection platform that changes the management of registrations through business documents. GoLiza is a unique and secure platform to maintain and share information and documents about a company. GoLiza was founded on 2018 and is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Information Technology, Media and Entertainment, Other, Software",1,Paola Munaro Augusto,1-10,2,Seed,2019-08-01,,,,Seed,,,,Seed,,,,63000,USD,63000,Darwin Startups,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,446",16,,,,,,,,,,,
Circular Brain,https://www.crunchbase.com/organization/circular-brain,"Environmental Consulting, Recycling","São Paulo, Sao Paulo, Brazil",Circular Brain is a Technology Startup that creates digital solutions in the Circular Economy.,"103,889",Latin America,,Active,2019-01-01,year,,,,,,https://circularbrain.io/,,https://www.facebook.com/CircularBrain,https://www.linkedin.com/company/circularbrain/,sinapse@circularbrain.io,+55 11 3476-8703,,,"Circular Brain is a Technology Startup that creates digital solutions in the Circular Economy and aims to be the promoting agent of circularity in global consumption cycles. A digital hub for product life cycle management, collaborative consumption, product as a service, reverse logistics, maintenance, reuse, and recycling of complex products.",,,,,,,,,,,,,,"Professional Services, Sustainability",,,11-50,1,,2020-12-11,650000,BRL,128301,Debt Financing,,,,,,,,650000,BRL,128301,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,520",25,,,,,,,,,,,
Iperum,https://www.crunchbase.com/organization/iperum,"Financial Services, Information Technology","São Paulo, Sao Paulo, Brazil",We are a P2P payment platform that vanishes the payment queues in physical merchants.,"103,909",Latin America,,Active,2018-01-02,day,,,,,For Profit,http://iperum.com.br,https://twitter.com/IperumBR,https://www.facebook.com/Iperum/,https://www.linkedin.com/company/iperum/,rodrigo.abe@iperum.com.br,+5511998131558,,,"We are a P2P payment platform that vanishes the payment queues in physical merchants. Through our proprietary platform, the POS can increase revenues with client retention by offering a unique experience: pay for consumption without getting into the line. It also decreases costs with less overhead and fewer acquirer machines.",,,,,,,,,,,,,,"Financial Services, Information Technology",1,Rodrigo Abe,1-10,1,,2018-05-31,20000,USD,20000,Undisclosed,20000,USD,20000,Undisclosed,20000,USD,20000,20000,USD,20000,Rodrigo Abe,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,544",42,,,,,,,,,,,
Beta Educação,https://www.crunchbase.com/organization/inbep,"Consulting, E-Learning, Education, Service Industry, Training","Florianópolis, Santa Catarina, Brazil",We provide the best services of online training in safety at work and later on also other areas of knowledge.,"104,007",Latin America,Less than $1M,Active,2012-07-01,day,,,,,For Profit,https://betaeducacao.com.br,http://twitter.com/betaeducacao,http://www.facebook.com/betaeducacao,http://linkedin.com/company/betaeducacao,tiago@somosbeta.com.br,+55 48 3371-7249,1,,"Our proposal is to offer quality teaching and in a differentiated way, be it distance learning or face-to-face. Therefore, we are always investing in the formation of values ​​for the people and we count with collaborators always tuned in the new technologies, ideas, markets and tendencies. We work to improve people's lives and we believe that the search for knowledge also makes us grow personally and professionally.",,,,,,,,,,,,,,"Education, Other, Professional Services, Software",2,"Sergio Siqueira, Tiago Maciel",11-50,1,Seed,2015-03-10,427000,BRL,137793,Seed,427000,BRL,137793,Seed,427000,BRL,137793,427000,BRL,137793,"21212, Paulo Piccini",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,648",13,,,14,,,,,,,,
Lysanda,https://www.crunchbase.com/organization/lysanda,"CleanTech, Fuel, Waste Management","São Paulo, Sao Paulo, Brazil","Lysanda, a cleantech company, produces Eco-Loga, helping users reduce fleet running cost by providing data on fuel consumption and wastage.","104,074",Latin America,Less than $1M,Active,1997-01-01,year,,,,,For Profit,http://www.lysanda.com,http://twitter.com/LysandaEcoLog,https://www.facebook.com/pg/lysandaprodutos/about/,http://www.linkedin.com/company/lysanda,info@lysanda.com,44 1376 574 400,,,Lysanda produces the Eco-Logâ„¢ which helps reduce vehicle fleet running costs by providing highly accurate data on fuel consumption and wastage.,,,,,,,,,,,,,,"Energy, Sustainability",,,11-50,2,,2011-10-18,10000000,GBP,15704997,Venture - Series Unknown,10000000,GBP,15704997,Venture - Series Unknown,11300000,GBP,17769826,11300000,GBP,17769826,"Sustainable Technologies Fund, Disruptive Capital Finance, Logispring",2,3,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,719",2,,,2,,,,,,,,
Joysticket,https://www.crunchbase.com/organization/joysticket,"Advertising Platforms, Apps, Loyalty Programs, Mobile","São Paulo, Sao Paulo, Brazil",Joysticket is a reward-based platform for mobile user acquisition and retention.,"104,282",Latin America,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://www.joysticket.com,http://twitter.com/joysticket,http://https//www.facebook.com/joysticket,https://www.linkedin.com/company/joysticket,,,,,"On Joysticket, users of participant Apps are rewarded in our virtual currency - Tickets - when accomplishing in-app achievements and daily missions, e.g. levelling up on a game, finishing a level with 3 stars, inviting friends to play or even ordering a pizza through an app. The accumulated Tickets are then redeemed for products, offers or pre-paid phone credits in our store of prizes!",,,,,,,,,,,,,,"Advertising, Apps, Mobile, Sales and Marketing, Software",2,"Fernando Garcia, Raphael Melo",1-10,1,Seed,2015-02-01,175000,EUR,197985,Angel,175000,EUR,197985,Angel,175000,EUR,197985,175000,EUR,197985,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,937",11,8,,12,,,,,,,,
Akmey Biotecnologia Têxtil,https://www.crunchbase.com/organization/akmey-biotecnologia-textil,"Biotechnology, Industrial Engineering, Information Technology, Manufacturing, Textiles","Indaial, Santa Catarina, Brazil","Akmey Biotecnologia Têxtil manufactures textiles that include fabric for washed jeans, knitted, plush, and woven fabrics.","104,341",Latin America,,Active,2010-04-07,day,,,,,For Profit,http://www.akmey.com.br/,,https://www.facebook.com/akmeybiotecnologia/,,akmey@akmey.com.br,55 47 3394 0024,,,"Akmey Biotecnologia Têxtil manufactures textiles that include fabric for washed jeans, knitted, plush, and woven fabrics. It began operation on April 7, 2010, with its headquarters in Indaial in Brazil.",,,,,,,,,,,,,,"Biotechnology, Information Technology, Manufacturing, Science and Engineering",,,101-250,1,Early Stage Venture,2015-10-19,3500000,BRL,898391,Series A,3500000,BRL,898391,Series A,3500000,BRL,898391,3500000,BRL,898391,"KPTL, Inseed Investimentos",2,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"109,000",21,,,,,,,,,,,
SalãoVIP,https://www.crunchbase.com/organization/salão-vip,"Beauty, E-Commerce, Internet","São Paulo, Sao Paulo, Brazil",SalãoVIP is an online platform that enables individuals to find and book services from beauty establishments in the locality.,"104,436",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://www.salaovip.com.br/,,,,contato@salaovip.com.br,+55 (11) 2908-0209,,,"SalãoVIP is an online platform that enables individuals to find and book services from beauty establishments in the locality. Users can filter their results by region or service, including hair removal, aesthetic services, manicure and pedicure, and makeup.   SalãoVIP was launched in 2013 and is operated from Sao Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Internet Services",1,Fernanda Greggio,11-50,1,,2014-10-01,200000,BRL,80777,Grant,,,,,,,,200000,BRL,80777,Wayra,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"109,106",42,68,"6,786",,,,,,,,,
InTaxi Media,https://www.crunchbase.com/organization/intaxi-media,"Media and Entertainment, Taxi Service","São Paulo, Sao Paulo, Brazil","We explore interactive displays with the most advanced taxi media platform, impacting thousands of users on the go every day.","104,514",Latin America,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,https://www.intaximedia.com,,https://www.facebook.com/intaximedia/,https://www.linkedin.com/company/intaxi-media/,,,,,"InTaxi is a Digital Out-of-Home (DOOH) company that offers a new way of communicating between advertisers and taxi passengers. The company is enhancing the user experience and innovating by offering a dynamic communication/ad channel. Its services is carried out through a technological platform that includes hardware (tablet) and software installed in the banks of the taxis. This set allows for more interactivity and assertiveness for advertisers. InTaxi was established in 2014 in São Paulo, Brazil.",,,,,,,,,,,,,,"Media and Entertainment, Transportation",1,Ryan Marques,11-50,1,Early Stage Venture,2016-04-04,3500000,BRL,969851,Series A,3500000,BRL,969851,Series A,3500000,BRL,969851,3500000,BRL,969851,CVENTURES,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"109,192",22,,,,,,,,,,,
Mundi,https://www.crunchbase.com/organization/mundi,"Search Engine, Tourism, Travel","Rio De Janeiro, Rio de Janeiro, Brazil",Mundi is a metasearch engine that enables its users to find the prices of flight tickets and hotels.,"104,660",Latin America,,Active,2008-08-01,day,2017-08-03,day,,,For Profit,http://www.mundi.com.br,http://twitter.com/siteMundi,http://www.facebook.com/page.mundibuscador,https://www.linkedin.com/company/mundi/,contato@mundi.com.br,+55 21 2540-5978,5,,"Mundi is a metasearch engine that enables its users to find the prices of flight tickets and hotels.  Founded in 2008, the website receives over 4 million visits every month and offers price searches in 200,000 hotels all over the world and flight searches in hundreds of flight companies through online travel agencies or directly from the supplier.",,,,,,,,,,,,,,"Internet Services, Travel and Tourism",1,Guilherme Pacheco,11-50,2,M&A,2010-10-01,,,,Series B,,,,Series B,3000000,USD,3000000,3000000,USD,3000000,,,,,Was Acquired,Mundi acquired by KAYAK,https://www.crunchbase.com/acquisition/kayak-acquires-mundi--0e78a364,KAYAK,https://www.crunchbase.com/organization/kayak,2017-08-03,day,,,,Acquisition,,Private,,,,,,,,,,,,,,,"109,345",26,,"6,127",19,,,,,,,,
Claro,https://www.crunchbase.com/organization/claro-brasil,"Loyalty Programs, Mobile, Telecommunications","São Paulo, Sao Paulo, Brazil","Claro is a mobile telecommunications services provider that offers local telephone, domestic, and international long distance telephone.","104,736",Latin America,$1B to $10B,Active,2003-01-01,year,,,,,For Profit,http://www.claro.com.br/,https://twitter.com/clarobrasil,https://www.facebook.com/clarobrasil,https://www.linkedin.com/company/clarobrasil/,,,72,,"Claro is a mobile telecommunications services provider that offers local telephone, domestic, and international long distance telephone. It encourages mobile phone users to earn credits through a loyalty program. Its users have the ability to win prizes and even a monthly income through its program. Claro is based in São Paulo, Brazil and was founded on 2003.",,,,,,,,,,,,,,"Hardware, Mobile, Sales and Marketing",1,Rodrigo Modesto Duclos,5001-10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"109,427",77,,,9,0,13,,Telecommunications,,,,
Tok & Stok,https://www.crunchbase.com/organization/tok---stok,"Consumer Goods, Furniture, Home Decor","Barueri, Sao Paulo, Brazil",Tok &Stok is a speciality Brazilian furniture and home décor store.,"104,795",Latin America,,Active,1978-01-01,year,2012-09-12,day,,,For Profit,http://www.tokstok.com.br/,https://www.twitter.com/tokstokonline,https://www.facebook.com/tokstok,https://www.linkedin.com/company/tok&stok/,info@tokstok.com.br,55 11 2186 8600,2,,"Tok &Stok is a speciality Brazilian furniture and home décor store founded in 1978. The company, which has 35 stores in 12 states across Brazil, is renowned for the unique shopping experience it offers its customers. Thanks to its superb market position and exceptional brand recognition, the company has maintained a solid growth track record and continues to grow rapidly. Further, Tok&Stok was also acquired by the Carlyle Group in 2012, thus enabling it to accelerate growth significantly and deliver its mission of making good design accessible.  ",,,,,,,,,,,,,,"Consumer Goods, Real Estate",2,"Ghislaine Dubrule, Regis Dubrule",251-500,,M&A,,,,,,,,,,,,,,,,,,,1,"Made Acquisitions, Was Acquired",Tok & Stok acquired by The Carlyle Group,https://www.crunchbase.com/acquisition/the-carlyle-group-acquires-tok---stok--1f900d9d,The Carlyle Group,https://www.crunchbase.com/organization/the-carlyle-group,2012-09-12,day,,,,Leveraged Buyout,,Private,,,,,,,,,,,,,,,"109,494",71,4,"7,474",30,,,,,,,,
Dispor Energia,https://www.crunchbase.com/organization/dispor-energia,"Energy, Energy Efficiency, Energy Management, Oil and Gas, Solar","Recife, Bahia, Brazil",Dispor Energia is a provider of electric power generation and management solutions.,"105,013",Latin America,,Active,2016-01-01,year,,,,,For Profit,http://disporenergia.com.br/,,,https://www.linkedin.com/company/disporenergia/about/,falecom@disporenergia.com,+55 (81) 3419.8162,,,Dispor Energia is a provider of electric power generation and management solutions. It was founded in 2016 and is headquartered in Recife Pernambuco.,,,,,,,,,,,,,,"Energy, Natural Resources, Sustainability",,,1-10,1,Seed,2019-12-12,80000,BRL,19555,Pre-Seed,80000,BRL,19555,Pre-Seed,80000,BRL,19555,80000,BRL,19555,WOW Aceleradora,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"109,723",18,,,,,,,,,,,
Heimdall,https://www.crunchbase.com/organization/heimdall,"Analytics, Blockchain, Social Media","Florianópolis, Santa Catarina, Brazil",Heimdall specializes in social media and blockchain analysis.,"105,168",Latin America,,Active,1962-10-01,day,,,,,For Profit,https://heimdall.land/,,https://www.facebook.com/HeimdallResearch/,https://www.linkedin.com/company/heimdall-research/,satoshi@heimdallresearch.com,+55 48 99140-7855,,,Heimdall Research specializes in social media and blockchain analysis.,,,,,,,,,,,,,,"Data and Analytics, Internet Services, Media and Entertainment, Other",,,1-10,1,Seed,2019-08-03,50000,BRL,12861,Pre-Seed,50000,BRL,12861,Pre-Seed,50000,BRL,12861,50000,BRL,12861,WOW Aceleradora,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"109,885",8,,,,,,,,,,,
Quero Education,https://www.crunchbase.com/organization/quero-education,"Education, Higher Education, Marketplace, Software, Universities","São José Dos Campos, Sao Paulo, Brazil",Quero Education operates an online marketplace that connects students with schools in Brazil.,"105,192",Latin America,Less than $1M,Active,2013-01-01,year,,,,,For Profit,http://querobolsa.com.br,https://twitter.com/querobolsa,https://www.facebook.com/QueroBolsa/,https://www.linkedin.com/showcase/quero-bolsa,hello@quero.education,+551137778093,4,,"Quero Educação operates an online marketplace that connects students with schools in Brazil. Its marketplace allows students to find information about courses and schools where they want to study, compare college programs and options, get available tuition price and scholarship, and enroll and apply for graduation.  Bernardo de Pádua, Lucas Gomes, and Thiago Brandão founded Quero Educação in 2010, with its headquarters in São José dos Campos in Brazil.",,,2,2,1,,,,,,,,,"Commerce and Shopping, Education, Other, Software",3,"Bernarndo de Pádua, Lucas Gomes, Thiago Damasceno",501-1000,3,Seed,2016-10-01,,,,Convertible Note,,,,Seed,,,,,,,"FundersClub, Y Combinator, ACE & Company, Lumia Capital, GE32 Capital",1,7,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,3,"109,913",17,,,20,,,,,,,,
